date,best_lag,beta,pval,r2,risk_score
2002-03-01,12,-17727.024854649208,0.022027129002849876,0.21228469324414057,0.0
2002-04-01,9,10327.557483598357,0.012394934036841493,0.17543432563047068,10327.557483598357
2002-05-01,8,-11908.812365081996,0.0019515511344133775,0.26080938508170926,0.0
2002-06-01,9,10474.42548738534,0.0013253882508983768,0.27605435628257613,10474.42548738534
2002-07-01,12,-38955.5126828817,0.009435211968920913,0.13569055926178308,0.0
2002-08-01,12,-72668.80836957431,0.03116363083822311,0.22480431926227695,0.0
2002-09-01,12,-70614.69060615648,0.02888106603220819,0.21716454571428767,0.0
2002-10-01,12,-71948.89057968244,0.03122549092296884,0.21719157536550593,0.0
2002-11-01,12,-67053.22754276008,0.0193177176119009,0.20123410498442285,0.0
2002-12-01,12,-67114.8904654323,0.01933417504324875,0.20178076721607374,0.0
2003-01-01,12,-65404.3232671488,0.01713262220998059,0.1911225941467567,0.0
2003-02-01,12,-65217.581487302436,0.0183789443333627,0.1896401266058626,0.0
2003-03-01,12,-63040.16480177324,0.018059938229315124,0.18168253309520233,0.0
2003-04-01,12,-86939.22491102143,0.010002010072430033,0.25177009393628214,0.0
2003-05-01,12,-133733.3281286302,0.053063969349641374,0.3798229354559264,0.0
2003-06-01,12,-131379.85257436382,0.059924664445074396,0.3707686148129822,0.0
2003-07-01,11,120083.35652052767,0.11727656374265981,0.258416508013524,0.0
2003-08-01,4,-99708.05844501898,0.14416574072111443,0.2613434014758581,0.0
2003-09-01,4,-95716.25052126648,0.16878008290430702,0.24442581639162642,0.0
2003-10-01,4,-92040.58076326583,0.18111533693277138,0.23362916807794887,0.0
2003-11-01,4,-97075.1817166568,0.20187652966211345,0.2394574391205655,0.0
2003-12-01,4,-96953.47270403945,0.20178081342733878,0.2389953154955241,0.0
2004-01-01,4,-104816.15362771272,0.22475588065081442,0.25502160995407186,0.0
2004-02-01,4,-103978.68160407923,0.22459148398111672,0.25270692818245477,0.0
2004-03-01,4,-72099.74501075006,0.2575149333054866,0.22655640993390902,0.0
2004-04-01,11,6780.712402645878,0.1433298399783957,0.09022579363913319,0.0
2004-05-01,3,-13320.223714063408,0.0015563086871633587,0.3414024518521469,0.0
2004-06-01,3,-8187.76579048455,0.01847727569493221,0.22113271153890757,0.0
2004-07-01,1,8435.652211057852,0.00044213551730136675,0.29265199478683657,8435.652211057852
2004-08-01,1,8495.255465615966,0.00028971278491284985,0.30226920402501034,8495.255465615966
2004-09-01,1,8655.271129933686,0.00034928732343745124,0.2671307586388777,8655.271129933686
2004-10-01,0,-7522.24178646658,0.00521017202829131,0.18696008585388058,0.0
2004-11-01,0,-8580.563904932176,0.00023821854802232747,0.23960153033340137,0.0
2004-12-01,11,12519.995591466322,6.568964589524233e-08,0.25666329292166945,12519.995591466322
2005-01-01,9,-9341.438471726498,0.008861205912304188,0.306467610068909,0.0
2005-02-01,9,-9743.749072596194,0.0017197931204729782,0.3283045602493816,0.0
2005-03-01,9,-11883.743639428818,2.9459079494539096e-15,0.41886497310472726,0.0
2005-04-01,9,-13369.284079777339,1.9592920078015065e-36,0.4517568273810766,0.0
2005-05-01,9,-13472.200583443944,8.342558419041651e-34,0.44538215448013674,0.0
2005-06-01,9,-13656.975390677899,9.846357546205692e-19,0.4831935710136447,0.0
2005-07-01,9,-14014.497901377772,1.9325651855887493e-25,0.5310176855105369,0.0
2005-08-01,9,-14593.274155269628,1.0764763416591842e-20,0.5584916840212499,0.0
2005-09-01,9,-13882.774926013999,6.5262165278031585e-34,0.5140643582220359,0.0
2005-10-01,9,-13834.363237807951,2.9790540128868795e-32,0.5692663051803709,0.0
2005-11-01,9,-13868.0918753499,4.740883902849917e-35,0.5717260834053751,0.0
2005-12-01,9,-12159.399810019399,1.5020713640791361e-37,0.5343025614502425,0.0
2006-01-01,9,-10223.43271935807,8.547269734867479e-08,0.4876989185378421,0.0
2006-02-01,9,-9325.559216295997,0.0001227227407853907,0.43489432521242055,0.0
2006-03-01,9,-9034.800921337635,0.00704579856244734,0.3337851130217234,0.0
2006-04-01,4,-12181.521228782105,4.7806618584315766e-09,0.23017587956389396,0.0
2006-05-01,9,-8031.59958993767,0.009764478869747783,0.16150288186730766,0.0
2006-06-01,9,-7931.01502081541,0.011452841164856576,0.15903347678124902,0.0
2006-07-01,4,-9323.19650922422,0.0016312002380916007,0.1870285663658362,0.0
2006-08-01,4,-10134.202599056896,2.8364030016465783e-08,0.3247505504071142,0.0
2006-09-01,4,-8926.26964469634,2.2640046434153103e-06,0.28647722659007546,0.0
2006-10-01,4,-8932.658647066646,2.369769006726098e-06,0.28003869060598396,0.0
2006-11-01,4,-9641.351403900562,3.0799037718737214e-06,0.3039708646581133,0.0
2006-12-01,4,-9643.416924137493,2.341424518316629e-07,0.3152866549631719,0.0
2007-01-01,4,-11091.19382082384,1.485443584365782e-05,0.35010079545908046,0.0
2007-02-01,4,-10324.814265914782,1.1288564434109927e-05,0.330623576626786,0.0
2007-03-01,12,13698.632648792554,5.125920221961346e-12,0.34646201275285493,13698.632648792554
2007-04-01,9,-10485.472795380745,1.1709942347994584e-08,0.29678722761511755,0.0
2007-05-01,9,-12691.105954312978,5.486216484819736e-71,0.3864083827003537,0.0
2007-06-01,9,-11555.262916432997,1.1826806727482843e-50,0.35578514524969473,0.0
2007-07-01,9,-11499.454970964645,1.2302479613378995e-65,0.45652151012175524,0.0
2007-08-01,9,-11186.313524481959,1.6612691449901578e-46,0.45536049732640493,0.0
2007-09-01,9,-11473.182300403425,7.461347998096088e-59,0.4744694535435362,0.0
