Year,Month,Korea,Korea_change,All destinations,All destinations_change
2024,May,6277,6.1,375947,14.8
2024,Jun,5240,-14.9,373500,10.7
2024,Jul,5710,-3.7,390420,13.1
2024,Aug,6306,-5.2,381265,6.4
2024,Sep,4832,-22.5,398138,4.7
2024,Oct,5173,-15,393009,3.5
2024,Nov,5732,-4.6,394689,2.1
2024,Dec,5516,3.2,406674,5.2
2025,Jan,6129,12.8,389142,0.1
2025,Feb,4885,-9.3,327909,15.4
2025,Mar,5200,-22.8,455534,18.5
2025,Apr,4843,-26.7,434464,14.7
2025,May,4672,-25.6,434081,15.5
2025,Jun,4669,-10.9,417818,11.9
